entrez	symbol	duplicability	origin	essential_celllines_percentage	ppin_degree	ppin_betweenness	ppin_clustering	complexes	mirna	expressed_tissues_mRNA_GTEx	expressed_tissues_mRNA_protatlas	expressed_tissues_protein_protatlas	expressed_celllines_CLP	expressed_celllines_GNE	expressed_celllines_CCLE	germline_SNVs	germline_SVs	LOEUF_score
10456	HAX1	1	Vertebrates	0.187617	219	99208.9	0.0539148	3	13	30	43	43	956	675	1019	0.088411		1.375
10476	ATP5PD	4	"Last Universal Common Ancestor"	3.77003	124	16185.3	0.191975	4	1	30	43	43		675	1019	0.0538302		1.387
10478	SLC25A17	0	"Last Universal Common Ancestor"	0	55	3545.51	0.0276094	1	11	30	43	43	926	675	1019	0.0901194	0.00108578	0.956
10482	NXF1	0	"Last Universal Common Ancestor"	57.7733	1171	1362610	0.020488	13	2	30	43	43	951	675	1019	0.0328487		0.31
10486	CAP2	1	"Last Universal Common Ancestor"	0	36	3676.37	0.180952	1	1	29	35	35	957	541	793	0.0740741	0.00209644	0.407
10492	SYNCRIP	2	"Last Universal Common Ancestor"	1.40845	396	138302	0.109321	6	81	30	43	43	940	675	1019	0.0401284	0.000535046	0.209
10499	NCOA2	0	"Last Universal Common Ancestor"	0.892061	96	14619.5	0.129386	11	16	30	43	43	949	664	1018	0.0432605	0.00136612	0.121
10501	SEMA6B	0	"Last Universal Common Ancestor"	1.15146	39	786.048	0.0323887	0	29	30	32	32	939	386	562	0.0131381	0.000375375	0.462
10512	SEMA3C	0	"Last Universal Common Ancestor"	0	41	9718.32	0.0390244	1	3	27	36	36	958	549	781	0.071088	0.00260078	0.516
10521	DDX17	0	"Last Universal Common Ancestor"	2.18778	232	20268.4	0.192715	5	25	30	43	43	932	675	1019	0.0136799		0.126
10527	IPO7	1	"Last Universal Common Ancestor"	45.0839	181	32675.5	0.106384	0	53	30	42	42	938	675	1019	0.0346821	0.00032113	0.106
10529	NEBL	0	"Last Universal Common Ancestor"	0	53	5352.58	0.0667634	0	15	22	33	33	946	305	390	0.101578		1.139
10533	ATG7	0	"Last Universal Common Ancestor"	0.183655	152	35059.8	0.0389508	9	28	30	43	43	939	675	1015	0.0877193	0.000948317	0.936
10548	TM9SF1	0	"Last Universal Common Ancestor"	0	37	1829.69	0.048048	0	21	30	43	43		675	1019	0.0484048		0.897
10568	SLC34A2	0	"Last Universal Common Ancestor"	0	44	2262.87	0.0317125	0	3	9	21	21	941	77	123	0.103865	0.00193237	1.091
10581	IFITM2	14	Vertebrates	8.34915	3	4.14509	0	1	0	30	43	43	959	570	822	0.0328283	0.00505051	1.889
10592	SMC2	0	"Last Universal Common Ancestor"	67.4914	142	20424.3	0.105484	14	25	29	41	41	935	675	1018	0.0548594	0.000556948	0.235
10595	ERN2	0	"Last Universal Common Ancestor"	0.093985	1	0	0	0	0	6	12	12	949	210	92	0.105472	0.000719942	1.029
10598	AHSA1	0	"Last Universal Common Ancestor"	0.293542	205	16997.7	0.152367	0	6	30	43	43	920	675	1019	0.0502959	0.000986193	0.15
10599	SLCO1B1	1	"Last Universal Common Ancestor"	0	14	292.071	0.021978	0	3	1	2	2	939	13	33	0.0680174	0.00241196	1.354
10600	USP16	0	Eukaryotes	0	42	3899.3	0.116144	1	10	30	43	43		675	1019	0.0668287	0.00202511	0.749
10605	PAIP1	1	"Last Universal Common Ancestor"	0.0912409	95	3675.78	0.187906	5	21	30	43	43	934	675	1019	0.0354906		0.198
10611	PDLIM5	0	"Last Universal Common Ancestor"	0	101	13025.5	0.0764356	2	61	30	43	43	955	664	969	0.0912	0.0016	0.552
10620	ARID3B	1	"Last Universal Common Ancestor"	0.275989	45	5017.77	0.0767677	0	33	30	40	40	945	345	937	0.0510992		0.472
10627	MYL12A	6	"Last Universal Common Ancestor"	2.44969	118	5398.67	0.204549	5	28	30	43	43	948	675	1019	0.0602636		1.756
10628	TXNIP	0	"Last Universal Common Ancestor"	0.093985	139	13075.6	0.0701699	2	223	30	43	43	970	648	976	0.0332481	0.00170503	0.549
10643	IGF2BP3	1	"Last Universal Common Ancestor"	0.178094	181	18775.3	0.211786	2	52	1	9	9	951	611	909	0.0431779	0.000575705	0.095
10644	IGF2BP2	3	"Last Universal Common Ancestor"	0.182315	86	3558.37	0.242408	1	9	27	35	35	958	558	854	0.0402204	0.00165289	0.428
10645	CAMKK2	0	"Last Universal Common Ancestor"	0.0893655	51	3018.48	0.0878431	6	26	30	43	43	947	675	1019	0.0578231	0.00226757	0.47
10658	CELF1	0	"Last Universal Common Ancestor"	0.444444	53	9708.68	0.134253	0	203	30	43	43	943	675	1019	0.0376135		0.171
10664	CTCF	0	"Last Universal Common Ancestor"	56.135	231	23539	0.198645	9	16	30	43	43	946	675	1019	0.0174232	0.000458505	0.148
10672	GNA13	0	"Last Universal Common Ancestor"	0.0921659	112	43411.9	0.0445624	11	33	30	43	43	958	675	1019	0.0503979		0.409
10693	CCT6B	2	"Last Universal Common Ancestor"	0	188	46903.1	0.0814655	11	2	29	36	36	950	174	264	0.0949685	0.000628931	1.123
10716	TBR1	0	Opisthokonts	0	17	509.819	0.139706	0	7	1	2	2	949	4	8	0.040567		0.194
10718	NRG3	0	Vertebrates	0	4	43.9534	0.166667	19	0	4	6	6	943	52	44	0.0467593	0.00324074	0.462
10721	POLQ	0	"Last Universal Common Ancestor"	0.797872	7	39.427	0.047619	2	86	3	12	12		667	1001	0.0761905	0.0003861	1.215
10725	NFAT5	0	Metazoans	0.266904	16	220.932	0.141667	1	135	30	41	41	952	674	1014	0.0309877	0.000430385	0.205
10734	STAG3	0	Eukaryotes	0.355556	2	0	1	4	0	28	15	15	946	385	258	0.0570963		0.606
10735	STAG2	0	Eukaryotes	9.20543	85	13964.6	0.12381	30	15	30	43	43	931	669	1015	0.0105153		0.09
10736	SIX2	1	Opisthokonts	0	27	1479.38	0.042735	1	1	14	8	8	941	243	318	0.0893471	0.00343643	0.338
10752	CHL1	0	"Last Universal Common Ancestor"	0	10	17933.8	0.0222222	4	6	24	33	33		80	106	0.0724401	0.00217865	0.644
10762	NUP50	3	"Last Universal Common Ancestor"	2.61882	120	12638.6	0.130252	10	74	30	43	43	920	675	1019	0.0598291	0.000712251	0.548
10763	NES	0	Vertebrates	0.093985	104	28607.6	0.0474234	0	4	29	35	35	956	394	543	0.0222085	0.000205634	0.537
10788	IQGAP2	0	Eukaryotes	0	51	6299.17	0.0572549	6	8	28	40	40	948	260	352	0.08	0.00190476	0.795
10797	MTHFD2	3	"Last Universal Common Ancestor"	0.53286	49	4256.81	0.10119	0	115	30	43	43	934	670	1010	0.0847619	0.000952381	0.805
10801	SEPTIN9	0	"Last Universal Common Ancestor"	0	98	17371.7	0.159478	3	37	30	43	43	950	672	1014	0.0585893	0.00113766	0.252
10806	SDCCAG8	0	Metazoans	0	20	482.183	0.126316	13	2	30	43	43	942	674	1017	0.0832215	0.000447427	0.784
10809	STARD10	0	"Last Universal Common Ancestor"	0	7	82.2812	0.285714	1	2	30	43	43	952	663	973	0.0710195		0.966
10810	WASF3	0	"Last Universal Common Ancestor"	0	44	3032.35	0.121565	6	42	29	35	35	961	407	589	0.0883134		0.467
10811	NOXA1	0	"Last Universal Common Ancestor"	0.375235	58	7985.83	0.0393224	4	0	30	38	38	948	377	520	0.0386473	0.00138026	1.032
10841	FTCD	0	"Last Universal Common Ancestor"	0.291262	8	106.476	0.0714286	0	11	17	6	6	937	49	40	0.11014	0.0011655	1.228
10847	SRCAP	0	"Last Universal Common Ancestor"	28.3914	67	4527.65	0.143826	7	131	30	41	41	944	675	1019	0.0511868	0.000103199	0.096
10849	POLR1G	0	Metazoans	2.25428	57	2247.93	0.189223	5	32	29	41	41	952	675	1008	0.0403646		1.831
10859	LILRB1	2	Mammals	0	13	506.006	0.294872	1	19	22	12	12	951	57	61	0.0296523	0.00204499	1.055
10880	ACTL7B	0	"Last Universal Common Ancestor"	0	1	0	0	0	0	1	1	1	949	3	1	0.0835341	0.00160643	1.571
10892	MALT1	0	"Last Universal Common Ancestor"	0	56	4323.27	0.148701	26	50	30	40	40	943	671	1012	0.0331715	0.00202265	0.3
10893	MMP24	0	"Last Universal Common Ancestor"	0.469043	4	13.6481	0	0	2	12	15	15	959	589	377	0.0449612		0.411
10902	BRD8	0	Opisthokonts	1.76835	59	2780.32	0.285213	12	3	30	43	43	934	675	1019	0.0415655	0.000269905	0.516
10904	BLCAP	0	Metazoans	0.0944287	19	5270.78	0.0818714	0	68	30	43	43	952	675	1019	0.0536399		1.339
10905	MAN1A2	0	"Last Universal Common Ancestor"	0.0938967	35	3802.28	0.0403361	1	34	30	43	43	950	675	1018	0.0338014	0.00208008	0.235
10913	EDAR	0	Vertebrates	0	63	12605.6	0.0373784	2	15	3	11	11	949	79	106	0.124256	0.000744048	0.906
10915	TCERG1	0	"Last Universal Common Ancestor"	3.25132	107	23235	0.178628	4	27	30	43	43	943	675	1019	0.0361263	0.000303582	0.227
10917	BTNL3	0	"Last Universal Common Ancestor"	0	30	1570	0.016092	0	24	1	9	9	939	17	27	0.0214592	0.00143061	0.847
10930	APOBEC2	0	Vertebrates	0	1	0	0	2	0	8	17	17	938	17	18	0.0818452		1.065
10941	UGT2A1	0	"Last Universal Common Ancestor"	0	1	0	0	0	10	2	2	2	950	11	8	0.017797	0.001443	1.18
10945	KDELR1	1	Eukaryotes	0.28222	69	6461.18	0.0639386	6	124	30	43	43	951	675	1019	0.0188679	0.00157233	0.419
10956	OS9	0	"Last Universal Common Ancestor"	0.182482	189	77353.2	0.0489699	13	6	30	43	43	955	675	1019	0.0764618	0.00049975	0.782
10957	PNRC1	0	Vertebrates	0	23	1222.06	0.102767	0	118	30	43	43	935	674	1019	0.0275229		0.389
10964	IFI44L	0	Eukaryotes	0	10	200.727	0.0222222	0	18	27	40	40	958	162	289	0.0361357	0.000737463	1.517
10973	ASCC3	0	"Last Universal Common Ancestor"	1.93322	91	17511.9	0.125275	6	9	30	43	43	927	675	1019	0.0750833	0.0013624	0.568
10983	CCNI	0	Eukaryotes	0.0891266	12	202.4	0.121212	0	12	30	43	43	916	675	1019	0.0548187	0.00265252	0.432
10991	SLC38A3	0	"Last Universal Common Ancestor"	0	7	125.439	0	0	0	14	17	17	944	91	127	0.00396825	0.000661376	
10992	SF3B2	0	"Last Universal Common Ancestor"	80.7368	236	29064.7	0.176415	22	11	30	43	43	940	675	1019	0.0428305		0.222
11059	WWP1	1	Eukaryotes	0.0891266	146	34927.9	0.0689655	8	4	30	43	43	955	675	1019	0.0426609	0.0010846	0.248
11064	CNTRL	0	"Last Universal Common Ancestor"	0	171	17838.9	0.0769178	13	3	30	41	41	946	661	989	0.0672401	0.000286738	0.892
11066	SNRNP35	0	"Last Universal Common Ancestor"	55.2299	28	1606.04	0.219577	6	19	30	43	43	948	675	1018	0.0889774		1.489
11078	TRIOBP	0	Vertebrates	0.489237	78	8991.47	0.0899101	0	72	30	43	43	937	673	1018	0.0387597	0.000563777	0.714
11086	ADAM29	0	"Last Universal Common Ancestor"	0	1	0	0	0	1	1	1	1	955	1	3	0.0260163	0.000813008	
11096	ADAMTS5	0	"Last Universal Common Ancestor"	0	3	588.602	0	0	40	23	25	25	946	64	137	0.0681004	0.00143369	0.703
11118	BTN3A2	2	Vertebrates	0	15	367.485	0.0857143	1	50	30	43	43	943	616	931	0.0309381	0.00299401	1.415
11122	PTPRT	0	"Last Universal Common Ancestor"	0.0891266	12	267.25	0.181818	0	43	2	8	8	940	18	23	0.0703196	0.00159817	0.18
11130	ZWINT	0	Vertebrates	11.1489	117	33600.8	0.0465665	14	97	28	40	40	935	670	1018	0.0385078	0.00120337	1.313
11140	CDC37	1	"Last Universal Common Ancestor"	50.2289	489	351966	0.0470264	56	40	30	43	43	944	675	1019	0.0379189	0.000881834	0.37
11143	KAT7	0	Eukaryotes	1.49254	88	8492.6	0.104232	7	68	30	43	43	942	675	1019	0.0185488		0.128
11148	HHLA2	0	Vertebrates	0	16	361.68	0.025	0	16	3	15	15	943	59	75	0.0434783	0.000805153	1.005
11152	WDR45	1	"Last Universal Common Ancestor"	0	29	4850.24	0.0812808	1	1	30	43	43		675	1019	0.0193906		0.21
11166	SOX21	0	"Last Universal Common Ancestor"	0	8	71.8224	0.142857	0	0	4	5	5	946	103	136	0.0108696		0.726
11168	PSIP1	0	"Last Universal Common Ancestor"	0.357462	89	4102	0.20761	9	4	30	43	43	913	674	1016	0.0578616		0.266
11174	ADAMTS6	0	"Last Universal Common Ancestor"	0	4	22.7914	0.166667	0	2	12	6	6	934	158	286	0.0510295	0.000895255	0.22
11176	BAZ2A	0	Eukaryotes	0.357782	33	523.07	0.251894	3	107	30	43	43	950	675	1019	0.0451444	0.000174978	0.146
11177	BAZ1A	0	Eukaryotes	0.0924214	52	1742.77	0.175716	5	4	30	43	43	941	675	1019	0.0409169	0.000428449	0.176
11193	WBP4	0	"Last Universal Common Ancestor"	0.322234	78	12744.2	0.185148	5	37	30	43	43	899	675	1019	0.0921986		1.018
11197	WIF1	0	"Last Universal Common Ancestor"	0.0890472	145	28440.3	0.0178161	1	4	11	16	16	952	20	47	0.0756376	0.00263852	1.092
11200	CHEK2	0	"Last Universal Common Ancestor"	0	178	36430.9	0.0742081	4	77	27	39	39	937	675	1016	0.11661	0.00170649	1.53
11214	AKAP13	0	"Last Universal Common Ancestor"	0.178412	49	7151.94	0.179422	1	19	30	43	43	948	674	1016	0.0375104	0.000236658	0.294
11215	AKAP11	0	Vertebrates	0	69	8271.36	0.0946292	0	110	30	39	39	911	675	1017	0.0452394		0.3
11218	DDX20	0	"Last Universal Common Ancestor"	31.7449	132	12749.6	0.12954	18	8	30	43	43	940	675	1019	0.0821197	0.000404531	1.041
11228	RASSF8	0	Metazoans	0.0978474	61	4874.68	0.0918033	0	28	29	37	37	949	504	739	0.0493238		0.349
11251	PTGDR2	0	Vertebrates	0	4	10.1247	0.333333	2	30	9	16	16	940	604	43	0.0481013		1.715
11259	FILIP1L	0	Metazoans	0	6	23.3381	0.133333	0	2	29	38	38	953	240	398	0.0787078	0.000587372	0.725
11262	SP140	0	"Last Universal Common Ancestor"	0	5	16.1947	0.1	0	0	7	32	32	952	144	140	0.0192234		0.586
11264	PXMP4	0	Eukaryotes	0	3	19.6574	0	1	83	30	43	43	953	585	955	0.0959119		1.25
11276	SYNRG	0	"Last Universal Common Ancestor"	0.356824	26	1233.57	0.193846	0	49	30	43	43	949	675	1019	0.0360223	0.000761035	0.319
11280	SCN11A	0	"Last Universal Common Ancestor"	0	0	0	0	0	2	2	3	3	942	1	7	0.0807742	0.000372232	0.828
11281	POU6F2	0	Metazoans	0.093985	134	43098.8	0.0258108	0	11	0	4	4	936	91	87	0.0921296	0.00231482	0.557
11311	VPS45	0	Eukaryotes	3.39342	59	5117.29	0.130333	2	16	30	43	43	964	675	1018	0.074269	0.000584795	0.658
11328	FKBP9	1	"Last Universal Common Ancestor"	0	59	3407.68	0.103448	1	34	30	39	39		592	908	0.0840021	0.00107009	0.815
11333	PDAP1	3	"Last Universal Common Ancestor"	34.179	37	1932.77	0.154655	0	7	30	43	43	941	675	1019	0.0699816		0.806
11338	U2AF2	0	"Last Universal Common Ancestor"	80.2892	440	94542.2	0.135131	22	56	30	41	41	952	675	1019	0.0105263		0.133
22794	CASC3	0	Metazoans	2.04082	91	7301.78	0.201954	15	9	30	43	43	932	675	1019	0.0682788		0.379
22800	RRAS2	1	"Last Universal Common Ancestor"	0.26738	54	6409.88	0.0691824	0	38	30	41	41		630	956	0.0343137		0.264
22806	IKZF3	0	"Last Universal Common Ancestor"	0.178094	196	38348.6	0.0654631	2	133	11	30	30	950	148	164	0.0425671		0.294
22807	IKZF2	0	"Last Universal Common Ancestor"	0.179533	21	285.569	0.357143	0	55	25	37	37		264	387	0.0659062	0.00253485	0.286
22808	MRAS	0	"Last Universal Common Ancestor"	0	16	325.808	0.0916667	0	18	29	39	39	952	395	590	0.0288462	0.00320513	0.368
22822	PHLDA1	0	Vertebrates	0	24	743.471	0.105072	1	25	29	37	37	959	569	841	0.0315877	0.00249377	0.448
22849	CPEB3	0	Metazoans	0.0979432	7	128.62	0.285714	0	53	29	37	37	942	164	151	0.0434575	0.00143267	0.227
22852	ANKRD26	0	"Last Universal Common Ancestor"	0	30	751.181	0.144828	0	10	29	40	40	942	651	922	0.0362573	0.000194932	0.733
22858	CILK1	0	"Last Universal Common Ancestor"	1.76367	50	8844.2	0.103674	0	31	30	41	41	940	658	999	0.0615545		0.613
22859	ADGRL1	0	Opisthokonts	0.469484	58	11051.8	0.0417423	0	91	28	36	36		597	895	0.0531434		0.187
22861	NLRP1	0	Vertebrates	0	27	5338.35	0.108262	4	1	30	42	42	951	313	617	0.0251188	0.000678887	0.836
22863	ATG14	0	Metazoans	0.0914077	50	6135.36	0.0710204	6	39	30	43	43	945	671	1019	0.0691057	0.000677507	0.465
22865	SLITRK3	0	Vertebrates	0	17	2039.65	0.0882353	1	9	7	14	14	937	15	43	0.0221767	0.000341181	0.34
22882	ZHX2	0	Metazoans	0	27	4817.71	0.136752	0	1	30	43	43	961	605	878	0.0509757	0.000398248	0.518
22894	DIS3	0	"Last Universal Common Ancestor"	25.3815	122	24905.5	0.0647609	6	18	30	43	43	902	675	1019	0.108907	0.000695894	1.006
22906	TRAK1	0	Metazoans	0	49	3248.94	0.114796	7	16	30	41	41	918	674	1019	0.0748513	0.00139909	0.519
22907	DHX30	0	"Last Universal Common Ancestor"	2.26244	213	14279.1	0.240898	6	10	30	43	43	884	675	1019	0.0139587	0.000558347	0.115
22913	RALY	0	"Last Universal Common Ancestor"	0.266667	196	55376.7	0.167347	2	75	30	43	43	955	675	1019	0.0555556		0.64
22924	MAPRE3	0	"Last Universal Common Ancestor"	0	76	29019.5	0.0435088	0	29	30	38	38	949	605	886	0.0284698	0.00237248	0.49
22925	PLA2R1	0	"Last Universal Common Ancestor"	0	3	14.305	0	0	0	24	32	32	951	177	287	0.0763272	0.000227842	0.868
22934	RPIA	0	"Last Universal Common Ancestor"	3.76147	43	4783.21	0.0431894	0	7	30	43	43	945	675	1019	0.0707396	0.00214362	0.889
22941	SHANK2	0	"Last Universal Common Ancestor"	0	39	6397.23	0.180837	2	10	14	27	27	954	308	348	0.0429061	0.000540833	0.458
22944	KIN	0	"Last Universal Common Ancestor"	54.8184	43	1914.73	0.348837	2	10	30	42	42	925	671	1001	0.086514		0.734
22974	TPX2	0	Eukaryotes	52.4328	123	14097.5	0.0855658	5	1	17	32	32	905	675	1019	0.0531013		0.217
22978	NT5C2	0	"Last Universal Common Ancestor"	0.281955	44	3489.37	0.0782241	0	62	30	43	43	937	675	1019	0.0679555	0.00117165	0.704
22982	DIP2C	0	"Last Universal Common Ancestor"	0	6	80.97	0.133333	0	22	29	36	36	960	525	757	0.0554841	0.00235647	0.149
22983	MAST1	0	"Last Universal Common Ancestor"	0	47	8973.47	0.171138	0	2	6	4	4		245	369	0.0312102		0.159
22984	PDCD11	0	"Last Universal Common Ancestor"	78.2648	191	41775.5	0.201543	4	14	30	42	42	929	675	1019	0.0739355	0.000712631	0.594
22992	KDM2A	0	"Last Universal Common Ancestor"	12.0761	50	3704.95	0.146939	3	58	30	42	42	949	675	1019	0.0192197		0.045
22995	CEP152	0	Metazoans	0.971817	126	8679.79	0.104254	13	10	25	38	38	936	664	999	0.0639376		0.824
22998	LIMCH1	0	"Last Universal Common Ancestor"	0	61	9524.22	0.128962	0	29	29	37	37	956	463	653	0.0693024		0.313
22999	RIMS1	0	"Last Universal Common Ancestor"	0	27	2663.58	0.0854701	7	0	3	9	9	943	18	45	0.0531915	0.00118203	0.285
23001	WDFY3	0	"Last Universal Common Ancestor"	0.0983284	88	12702	0.0412748	0	15	30	37	37	960	606	927	0.0343165	0.000378143	0.071
23002	DAAM1	0	"Last Universal Common Ancestor"	0.0979432	41	9120.96	0.0609756	4	18	29	43	43	949	670	976	0.0822511	0.00123686	0.261
23013	SPEN	0	"Last Universal Common Ancestor"	0.623886	86	8936.01	0.112449	6	27	30	41	41	938	673	1017	0.022198		0.071
23019	CNOT1	0	Eukaryotes	25.9389	126	31340.4	0.13219	10	15	30	43	43	927	675	1019	0.0262346	0.000420875	0.038
23020	SNRNP200	0	"Last Universal Common Ancestor"	84.3485	233	23130.2	0.185178	13	8	30	43	43	945	675	1019	0.0374532	0.000156055	0.082
23024	PDZRN3	0	"Last Universal Common Ancestor"	0	27	2666.4	0.0655271	0	1	28	37	37	949	204	263	0.0747342	0.000938086	0.303
23028	KDM1A	0	"Last Universal Common Ancestor"	2.29479	420	277363	0.0442209	22	6	30	43	43	927	675	1019	0.0308219		0.276
23031	MAST3	0	"Last Universal Common Ancestor"	0.0890472	114	9473.86	0.271697	0	62	30	43	43	940	648	896	0.0387064		0.224
23036	ZNF292	0	"Last Universal Common Ancestor"	0	15	809.264	0.190476	1	33	30	43	43	932	675	1011	0.0312156		0.14
23037	PDZD2	0	"Last Universal Common Ancestor"	0	15	1028.46	0.12381	0	10	26	24	24	948	185	210	0.0393331	0.000352237	0.277
23038	WDTC1	0	"Last Universal Common Ancestor"	0	65	8375.11	0.06875	4	53	30	39	39	953	673	1018	0.0256031	0.000492368	0.23
23040	MYT1L	0	Metazoans	0.973451	9	40.8328	0.194444	0	6	3	3	3	944	33	55	0.0385048	0.00224845	0.087
23042	PDXDC1	0	Opisthokonts	0	111	24462.3	0.0298116	0	3	30	43	43	947	675	1019	0.0740271	0.000423012	0.846
23046	KIF21B	0	Eukaryotes	0	39	1830.21	0.0782726	1	23	23	26	26	946	321	474	0.0731012		0.428
23047	PDS5B	0	"Last Universal Common Ancestor"	0.282752	88	35379.2	0.0932602	19	2	30	43	43	932	675	1017	0.0255702	0.000460723	0.18
23049	SMG1	0	"Last Universal Common Ancestor"	54.9623	46	1703.76	0.128502	4	138	30	43	43	954	675	1019	0.0301375	0.000455249	0.053
23059	CLUAP1	0	"Last Universal Common Ancestor"	0	223	54714.3	0.0328849	4	95	29	43	43	939	669	967	0.0817901	0.00154321	0.683
23063	WAPL	0	"Last Universal Common Ancestor"	2.02775	83	16834.6	0.116074	23	16	30	43	43		675	1019	0.0235294	0.000280112	0.112
23067	SETD1B	0	"Last Universal Common Ancestor"	1.56709	26	395.607	0.246154	10	139	30	38	38	936	674	1018	0.033062		0.151
23070	CMTR1	0	"Last Universal Common Ancestor"	35.7971	38	3558.11	0.0469417	0	4	30	43	43		675	1019	0.0443114	0.000399202	0.289
23072	HECW1	0	Eukaryotes	0	28	1829.69	0.10582	2	10	2	12	12	937	70	60	0.0747198	0.00041511	0.253
23075	SWAP70	0	Eukaryotes	0	42	2799.22	0.150987	0	14	30	43	43	949	660	997	0.0626781		0.471
23077	MYCBP2	0	"Last Universal Common Ancestor"	0	130	54576.5	0.0517591	0	16	30	43	43	929	675	1019	0.038763	0.000142511	0.115
23080	AVL9	0	"Last Universal Common Ancestor"	0	13	449.176	0.051282	0	109	30	43	43	959	674	1017	0.0699589	0.000514403	0.533
23086	EXPH5	0	Vertebrates	0	35	3018.35	0.0487395	0	23	15	22	22	954	293	379	0.0340204	0.000335177	0.943
23091	ZC3H13	0	"Last Universal Common Ancestor"	9.163	97	12937.4	0.151417	1	11	30	43	43	953	675	1019	0.0744957		0.211
23092	ARHGAP26	0	"Last Universal Common Ancestor"	0	32	2929.69	0.0745968	0	16	30	42	42	953	534	702	0.0495495	0.0020475	0.276
23093	TTLL5	0	"Last Universal Common Ancestor"	0.0979432	34	1909.01	0.121212	0	23	30	42	42		675	1015	0.0827478	0.000520427	0.757
23095	KIF1B	0	Eukaryotes	0	97	16959	0.102234	1	66	30	39	39	959	645	985	0.060022		0.171
23111	SPART	0	"Last Universal Common Ancestor"	0	60	4353.76	0.123729	1	38	30	43	43		475	786	0.103103	0.001001	0.838
23112	TNRC6B	0	Vertebrates	0.0978474	91	5440.83	0.135775	54	196	30	42	42	936	668	985	0.0501909		0.173
23113	CUL9	0	"Last Universal Common Ancestor"	0.266904	62	7530.28	0.0317292	3	1	30	35	35	951	666	996	0.0516488		0.28
23120	ATP10B	0	"Last Universal Common Ancestor"	0	1	0	0	0	2	7	15	15	945	82	107	0.0935432	0.000228154	1.025
23122	CLASP2	0	"Last Universal Common Ancestor"	0	72	8634.15	0.131064	13	2	30	43	43	918	675	1019	0.0473398	0.00043431	0.201
23129	PLXND1	0	"Last Universal Common Ancestor"	0.0891266	15	9333.45	0.0380952	6	97	30	41	41	958	579	889	0.0348052	0.00017316	0.157
23130	ATG2A	0	"Last Universal Common Ancestor"	0.0980392	30	1789.66	0.0712644	0	66	30	42	42	955	675	1019	0.0493636		0.346
23131	GPATCH8	0	"Last Universal Common Ancestor"	0	68	6030.26	0.147498	0	52	30	41	41	942	675	1017	0.00821127		0.17
23136	EPB41L3	0	"Last Universal Common Ancestor"	0.266904	164	27544.3	0.0910519	2	20	29	39	39	947	223	314	0.0953695	0.000306654	0.477
23140	ZZEF1	0	"Last Universal Common Ancestor"	0	109	36166.2	0.0285423	0	5	30	38	38	943	675	1019	0.0685579	0.000562873	0.291
23141	ANKLE2	0	Opisthokonts	69.1786	95	73046.6	0.0367301	2	2	30	43	43		675	1019	0.0732054	0.000355366	0.847
23152	CIC	0	"Last Universal Common Ancestor"	0	32	1652.28	0.153226	1	13	30	38	38	951	674	1019	0.0198649	0.000132433	0.183
23163	GGA3	0	"Last Universal Common Ancestor"	1.81324	61	6377.13	0.121858	4	38	30	43	43	953	675	1019	0.0806823	0.000461042	0.719
23166	STAB1	0	"Last Universal Common Ancestor"	0.101833	8	35.7652	0.178571	2	0	30	39	39	953	125	28	0.0822309	0.000129702	0.805
23178	PASK	0	"Last Universal Common Ancestor"	0	107	16574.5	0.0269794	0	2	28	35	35	940	662	984	0.0578947		0.965
23179	RGL1	0	"Last Universal Common Ancestor"	0.0900901	15	1002.5	0.142857	0	3	30	36	36	953	398	617	0.0518887	0.00041511	0.32
23180	RFTN1	0	Vertebrates	0.0978474	16	375.92	0.0583333	0	1	30	42	42	964	440	632	0.0709343	0.0011534	0.966
23185	LARP4B	0	"Last Universal Common Ancestor"	0.182482	117	7885.4	0.189802	1	24	30	43	43	902	675	1019	0.058646	0.000862441	0.158
23191	CYFIP1	1	"Last Universal Common Ancestor"	1.00908	102	33584	0.123859	9	4	30	42	42	952	635	980	0.013727	0.001295	0.302
23192	ATG4B	0	"Last Universal Common Ancestor"	0	37	2970.84	0.16967	0	2	30	43	43	924	675	1019	0.0500424		0.337
23203	PMPCA	1	"Last Universal Common Ancestor"	59.7025	129	24465.1	0.0786095	0	76	30	43	43		675	1019	0.0990476	0.00126984	1.07
23211	ZC3H4	0	Eukaryotes	2.01271	73	15985.2	0.0582192	0	49	30	43	43	932	675	1019	0.0463034	0.00025582	0.054
23212	RRS1	0	Eukaryotes	63.6928	239	7317.99	0.33297	0	22	30	42	42	941	675	1019	0.0876712	0.000913242	0.724
23213	SULF1	0	"Last Universal Common Ancestor"	0	29	3272.02	0.0615764	0	2	26	33	33	949	133	226	0.0853425	0.00114811	0.461
23217	ZFR2	0	"Last Universal Common Ancestor"	0	3	33.0231	0.333333	0	5	3	5	5	952	31	37	0.0333688	0.00106496	1.271
23219	FBXO28	0	Metazoans	0.321888	88	14724.1	0.0399687	0	57	30	43	43	940	675	1019	0.0181159	0.00181159	0.271
23220	DTX4	0	Eukaryotes	0.107527	11	552.403	0.236364	8	22	29	38	38	961	461	617	0.0662359		0.482
23224	SYNE2	0	Eukaryotes	0	80	15072.9	0.0889241	2	13	30	42	42	950	632	919	0.0525071	0.000337821	0.372
23232	TBC1D12	0	Eukaryotes	0.195695	1	0	0	0	12	29	36	36	955	630	848	0.0408602	0.00215054	0.602
